ticker,verdict,mos,intrinsic,price,method,conf,wacc,ke,tv_share,dispersion_maxmin,sens_swing,model_g1,reverse_g1,fade_years,terminal_g,reinvest,margin
ADANIENT,AVOID,-0.4232936694641277,1822.7956989247314,3160.7,Sum-of-the-Parts,medium,0.07590301199999999,0.11925,0.9,3.43,,0.0721,0.3793,8,0.04,0.75,0.0842
ARSSBL,LOW CONF,1.7563188064789599,1483.0373338260042,538.05,FCFF DCF,medium,0.1076192232,0.1197,0.823,11.41,0.285,0.1777,-0.3,8,0.055,0.65,0.3384
ASAHIINDIA,AVOID,-0.6149771939389224,339.9558866116286,882.95,FCFF DCF,high,0.08980843553399999,0.11315,0.874,4.66,1.059,0.1082,0.2674,10,0.05,0.75,0.1246
ASHAPURMIN,LOW CONF,-0.48204604106295273,357.3882316665626,690.0,FCFF DCF,medium,0.09982824,0.14100000000000001,0.835,3.89,0.566,0.08,0.1884,8,0.04,0.75,0.0797
ASIANPAINT,LOW CONF,-0.5240110800529773,1279.934205737544,2689.0,FCFF DCF,high,0.100307772,0.1026,0.534,6.05,0.657,0.08,0.2314,15,0.055,0.2446,0.1505
AUBANK,AVOID,-0.6233532427933399,385.61095002817854,1023.8,Residual Income,high,,0.1078,0.732,16.26,0.881,0.1,,8,0.055,0.35,0.12
AWL,BUY,0.9120234307550004,360.91354278931385,188.76,FCFF DCF,high,0.09467824,0.0955,0.847,15.12,0.813,0.1153,0.0527,8,0.055,0.5615,0.0243
BAJAJFINSV,AVOID,-0.5017713366508675,923.7159418492917,1854.0,Sum-of-the-Parts,medium,,0.1074,0.717,12.94,1.535,0.1,,15,0.055,0.35,0.12
BAJFINANCE,REDUCE,-0.40438347124579666,629.149739323065,1056.3,Residual Income,high,,0.10625,0.697,6.31,1.264,0.1,,12,0.055,0.35,0.12
BANKBARODA,LOW CONF,1.1883065631090028,543.3565196199654,248.3,Residual Income,high,,0.105,0.69,2.88,0.985,0.1,,10,0.055,0.35,0.12
BHARTIARTL,HOLD,-0.04402282709584087,1824.769227639459,1908.8,FCFF DCF,high,0.08,0.1015,0.87,5.65,0.432,0.18,0.1429,10,0.05,0.65,0.3018
BLS,BUY,0.7651939727345547,413.76146720897964,234.4,FCFF DCF,high,0.1183226496,0.1281,0.807,9.06,0.654,0.18,0.1758,8,0.055,0.65,0.2419
BLUEJET,LOW CONF,-0.48221245197643264,299.4106496446278,578.25,FCFF DCF,high,0.10472550359999999,0.1052,0.55,5.38,0.738,0.08,0.2243,15,0.05,0.4206,0.2851
CANBK,LOW CONF,1.725913498070969,343.192509407135,125.9,Residual Income,high,,0.11395,0.642,4.24,0.945,0.1,,12,0.055,0.35,0.12
CEIGALL,LOW CONF,2.6051821893885476,1233.8736043182305,342.25,FCFF DCF,medium,0.100792824076,0.11305,0.712,4.99,0.714,0.18,0.0049,15,0.05,0.6327,0.2697
CESC,BUY,0.7427650038435465,287.7305021345695,165.1,FCFF DCF,high,0.07662427999999999,0.11764999999999999,0.876,6.51,0.512,0.1137,-0.0249,8,0.045,0.65,0.1744
CHALET,BUY,0.5161624458332322,1308.4481907540794,863.0,FCFF DCF,high,0.08713951270399999,0.11044999999999999,0.904,6.78,0.662,0.18,0.1471,8,0.055,0.65,0.3255
CHOLAHLDNG,LOW CONF,3.9700960508642287,7752.355820138024,1559.8,Residual Income,high,,0.1189,0.709,141.19,1.252,0.1,,15,0.055,0.35,0.12
CMRGREEN,HOLD,0.21502426185426177,263.35650875691124,216.75,FCFF DCF,medium,0.0903286452,0.13219999999999998,0.761,9.65,0.604,0.08,0.002,8,0.04,0.5139,0.0865
COALINDIA,BUY,0.8354643649219108,784.9363356588551,427.65,FCFF DCF,high,0.1035242244,0.1051,0.621,3.54,0.419,0.08,-0.1001,8,0.04,0.2838,0.2823
CRAMC,LOW CONF,-0.18005495613745778,213.34970041303347,260.2,FCFF DCF,medium,0.11866397097999999,0.1197,0.526,2.52,0.675,0.18,0.2088,15,0.055,0.36,0.45
CRIZAC,BUY,0.2241588377981403,228.62390454718067,186.76,FCFF DCF,medium,0.1171176888,0.1172,0.79,5.43,0.58,0.18,0.2038,8,0.05,0.65,0.2018
CROMPTON,LOW CONF,-0.1470567186256142,219.59024778983562,257.45,FCFF DCF,medium,0.1057136132,0.1066,0.479,1.99,0.689,0.08,0.1338,15,0.055,0.16,0.08
DLF,AVOID,-0.6179408675762976,247.61252372380153,648.1,FCFF DCF,high,0.12576399,0.1259,0.327,5.02,0.215,0.08,0.2784,15,0.05,0.2417,0.2094
DMART,AVOID,-0.47356471541533746,2079.8931658655433,3950.9,FCFF DCF,high,0.0898499512,0.0944,0.924,6.66,0.897,0.18,0.4143,8,0.055,0.75,0.0612
EFCIL,LOW CONF,3.1316614536283316,781.8342968700891,189.23,FCFF DCF,medium,0.08499999999999999,0.1072,0.867,5.36,0.348,0.18,0.0213,12,0.055,0.65,0.3358
ELECTCAST,LOW CONF,0.19375249674717623,89.94925062989972,75.35,FCFF DCF,medium,0.12594183372,0.1454,0.553,34.64,0.377,0.02,0.0493,8,0.05,0.3364,0.1247
EMAMILTD,BUY,0.39971887793351596,575.9143323257451,411.45,FCFF DCF,high,0.09522487499999999,0.09465,0.563,5.54,0.717,0.08,0.0862,15,0.055,0.16,0.2146
GENUSPOWER,BUY,0.858350951797276,590.2122622908149,317.6,FCFF DCF,medium,0.08949235768000001,0.1321,0.875,6.1,0.781,0.18,0.098,10,0.05,0.75,0.1782
GODFRYPHLP,BUY,0.9685432668880027,4160.516194567794,2113.5,FCFF DCF,high,0.1002656472,0.1005,0.754,3.94,1.191,0.18,0.1276,15,0.055,0.5869,0.1605
GPPL,BUY,0.37664434331120106,207.50160186729732,150.73,FCFF DCF,medium,0.113183824,0.1136,0.47,3.47,0.563,0.1367,0.1011,15,0.055,0.2734,0.45
GRASIM,AVOID,-0.48630283002962693,1597.444089456869,3109.7,Sum-of-the-Parts,medium,0.08,0.1051,0.867,36.25,0.56,0.12,0.1187,10,0.05,0.65,0.1603
GRMOVER,LOW CONF,2.7515000239865466,341.46153218325543,91.02,FCFF DCF,medium,0.08499999999999999,0.0983,0.935,6.29,0.43,0.18,0.0192,8,0.055,0.75,0.0522
HCLTECH,BUY,0.51582593183737,1824.90283933901,1203.9,FCFF DCF,high,0.1039275384,0.1049,0.568,3.76,0.943,0.1108,0.0684,15,0.055,0.2216,0.1822
HDFCBANK,REDUCE,-0.10004294254298185,737.6048042917721,819.6,Residual Income,high,,0.1023,0.705,2.61,1.109,0.1,,10,0.055,0.35,0.12
HDFCLIFE,HOLD,0.0014184397163119762,564.8,564.0,EV + VNB Appraisal,medium,,0.10339999999999999,0.726,1.05,0.825,0.1,,8,0.055,0.35,0.12
HEXT,BUY,0.37872605265784887,784.6329965675818,569.1,FCFF DCF,high,0.101698666832,0.1071,0.639,3.71,0.994,0.1528,0.1144,15,0.055,0.3056,0.1296
HINDUNILVR,REDUCE,-0.25641702878556966,1594.0931736894959,2143.8,FCFF DCF,high,0.09278016559999999,0.0929,0.584,5.33,0.717,0.08,0.1626,15,0.055,0.16,0.217
ICICIBANK,HOLD,0.13575295157931755,1640.3679879660083,1444.3,Residual Income,high,,0.10164999999999999,0.71,5.97,1.429,0.1,,12,0.055,0.35,0.12
ICICIGI,AVOID,-0.49283659366424254,814.3015652126921,1605.6,Combined-ratio P/B,medium,,0.10219999999999999,0.693,2.54,1.344,0.1,,12,0.055,0.35,0.12
ICICIPRULI,HOLD,0.22058823529411775,614.2,503.2,EV + VNB Appraisal,medium,,0.1028,0.732,1.48,0.897,0.1,,8,0.055,0.35,0.12
IIFLCAPS,LOW CONF,0.018030832498942023,343.2290951770183,337.15,FCFF DCF,medium,0.13078078519999997,0.15485,0.419,5.63,0.217,0.1003,0.0981,15,0.055,0.4088,0.3754
INDIAMART,BUY,0.4123336281763823,2703.065330966778,1913.9,FCFF DCF,high,0.10905002500000001,0.10925,0.84,6.61,0.721,0.1764,0.222,8,0.055,0.65,0.3222
INDUSTOWER,BUY,0.3752775665454349,554.2368593178103,403.0,FCFF DCF,high,0.089404114976,0.1111,0.691,6.61,0.628,0.08,0.0344,12,0.05,0.4619,0.3285
INFY,BUY,0.6431217327460126,1801.6829799560028,1096.5,FCFF DCF,high,0.1040208322,0.10565,0.552,3.71,0.93,0.0992,0.0577,15,0.055,0.1984,0.2066
ITC,LOW CONF,1.1255624061707894,596.6453674121406,280.7,Sum-of-the-Parts,medium,0.09227403199999999,0.09235,0.602,41.07,0.704,0.09,0.0331,15,0.055,0.1799,0.2963
JINDALPOLY,LOW CONF,-0.013295362710078971,649.5969979598195,658.35,FCFF DCF,medium,0.08926745280000001,0.13474999999999998,0.87,7.74,0.839,0.1706,0.2506,8,0.05,0.65,0.02
JIOFIN,LOW CONF,-0.7186435562210323,68.36398870941359,242.98,Residual Income,high,,0.11565,0.55,8.14,1.149,0.1,,8,0.055,0.35,0.12
JKPAPER,HOLD,0.17472972489764318,433.2990590284957,368.85,FCFF DCF,medium,0.108962925849,0.12645,0.746,8.59,0.453,0.08,0.0124,8,0.045,0.65,0.1961
JYOTICNC,LOW CONF,-0.45108917894763684,429.02869773452704,781.6,FCFF DCF,high,0.10660668814,0.1315,0.873,7.89,0.854,0.18,0.4204,8,0.055,0.75,0.2277
KALPATARU,LOW CONF,3.323007456028219,1178.0195317676896,272.5,FCFF DCF,medium,0.11488112753999999,0.12719999999999998,0.777,4.66,0.491,0.18,-0.0627,8,0.05,0.65,0.0639
KIRLPNU,LOW CONF,-0.46507879445475986,903.321439804247,1688.7,FCFF DCF,medium,0.1257040852,0.1258,0.452,5.58,0.468,0.1289,0.2864,15,0.055,0.3785,0.1581
KKCL,BUY,0.8876043198664012,934.3641383338686,495.0,FCFF DCF,medium,0.10274261999999999,0.10439999999999999,0.67,3.91,0.975,0.18,0.1136,15,0.055,0.4576,0.1596
KPITTECH,BUY,0.7708772013080868,980.8888818045492,553.9,FCFF DCF,high,0.10645695024799999,0.11825,0.642,5.79,0.96,0.18,0.1027,15,0.055,0.36,0.1641
KRT,AVOID,-0.6142278610324028,44.533535722419415,115.44,FCFF DCF,medium,0.08,0.1172,0.899,18.46,0.982,0.1635,0.2681,8,0.05,0.65,0.45
LEMONTREE,BUY,0.3866425073574831,154.88796807183087,111.7,FCFF DCF,high,0.088608415368,0.11325,0.9,9.05,0.654,0.18,0.1506,8,0.055,0.65,0.3879
LICHSGFIN,LOW CONF,1.3566455378032247,1291.913083823728,548.2,Residual Income,high,,0.12095,0.644,7.4,0.738,0.1,,10,0.055,0.35,0.12
LICI,LOW CONF,5.049412786648624,2621.2105604548487,433.3,Residual Income,high,,0.10915,0.701,12.58,1.409,0.1,,15,0.055,0.35,0.12
LT,REDUCE,-0.1203839910909931,3355.295265983407,3814.5,Sum-of-the-Parts,medium,0.08,0.11019999999999999,0.868,25.33,0.397,0.1472,0.1327,10,0.05,0.65,0.0916
LUPIN,BUY,0.35638257925447075,3314.9990236979265,2444.0,FCFF DCF,high,0.0863759896,0.0977,0.86,3.62,0.78,0.1736,0.1475,10,0.05,0.65,0.182
MAHABANK,LOW CONF,1.7402474128540686,218.39771880446926,79.7,Residual Income,high,,0.1075,0.641,4.6,1.286,0.1,,15,0.055,0.35,0.12
MARUTI,AVOID,-0.2518465278836944,10311.79930617904,13783.0,FCFF DCF,high,0.110032086,0.11005,0.473,3.57,0.618,0.12,0.1765,15,0.05,0.2673,0.095
MEDIASSIST,LOW CONF,-0.32884142373440983,236.8183036353135,352.85,FCFF DCF,medium,0.1175517892,0.1186,0.803,3.35,0.617,0.18,0.2954,8,0.055,0.65,0.11
MHRIL,AVOID,-0.6113987300979109,87.49746193115439,225.16,FCFF DCF,medium,0.08,0.1118,0.883,6.88,1.579,0.0942,0.2119,8,0.05,0.628,0.0811
NATCOPHARM,BUY,0.972387725748791,1868.04841505668,947.1,FCFF DCF,high,0.1170448288,0.1184,0.419,5.73,0.465,0.1044,0.05,15,0.05,0.2339,0.392
NAVNETEDUL,LOW CONF,1.9808895800969777,434.4646562991345,145.75,FCFF DCF,medium,0.10132520351999999,0.10275,0.515,6.07,0.75,0.08,-0.0045,15,0.055,0.2648,0.2592
NESTLEIND,LOW CONF,-0.486020672057449,733.5512968396089,1427.2,FCFF DCF,high,0.0923789526,0.09265,0.62,4.74,0.757,0.1044,0.2182,15,0.055,0.2089,0.2165
NMDC,BUY,0.2520328125508649,103.7809998323412,82.89,FCFF DCF,high,0.1100868442,0.11465,0.596,3.15,0.341,0.08,-0.0024,8,0.04,0.293,0.3234
NTPC,HOLD,0.03736547700387298,354.623388313774,341.85,FCFF DCF,high,0.075,0.1001,0.877,2.78,0.74,0.0917,0.0394,8,0.045,0.65,0.2042
OFSS,LOW CONF,-0.4630139152136981,6319.2522457652,11768.0,FCFF DCF,high,0.1220525804,0.1222,0.686,5.57,0.604,0.1078,0.3893,8,0.055,0.3594,0.4392
ONGC,REDUCE,-0.12014379302252308,217.57964142346026,247.29,Sum-of-the-Parts,medium,0.0882066976,0.10885,0.714,31.11,0.822,0.0361,-0.028,8,0.04,0.3918,0.0962
OSWALPUMPS,LOW CONF,4.12000345750943,2042.1133790276363,398.85,FCFF DCF,medium,0.12407612973,0.12855,0.557,5.2,0.593,0.18,-0.0085,15,0.055,0.4963,0.45
PFC,LOW CONF,3.9257249598770145,1976.9397126466397,401.35,Residual Income,medium,,0.12265,0.589,5.12,0.93,0.1,,15,0.055,0.35,0.12
PRIVISCL,LOW CONF,-0.4839897615131571,1888.597472861845,3660.0,FCFF DCF,medium,0.085729003792,0.11474999999999999,0.864,4.37,0.81,0.18,0.2908,10,0.05,0.65,0.1152
PURVA,LOW CONF,-0.09685541379776928,200.7329157293078,222.26,FCFF DCF,medium,0.10611014999999999,0.13515,0.806,17.67,0.77,0.18,0.1639,8,0.05,0.65,0.1737
RECLTD,LOW CONF,1.512520774342327,878.3772627100776,349.6,Residual Income,medium,,0.1259,0.601,2.95,0.641,0.1,,10,0.055,0.35,0.12
RELIANCE,HOLD,0.16620372855090215,1547.7855885327574,1327.2,Sum-of-the-Parts,medium,0.086392094,0.1043,0.872,7.33,0.899,0.08,0.1618,8,0.04,0.75,0.1145
SAMHI,BUY,0.7443942849015301,287.9994964372426,165.1,FCFF DCF,medium,0.1076761908,0.12335,0.828,7.64,0.98,0.18,0.1734,8,0.055,0.65,0.2775
SBFC,AVOID,-0.6213887925662172,35.59702572292426,94.02,Residual Income,high,,0.1105,0.694,2.85,0.671,0.1,,8,0.055,0.35,0.12
SBILIFE,HOLD,-0.07188149119930032,1697.9,1829.4,EV + VNB Appraisal,medium,,0.10405,0.683,1.11,1.23,0.1,,12,0.055,0.35,0.12
