ticker,tier,archetype,price,eng_intrinsic,eng_mos,eng_verdict,eng_conf,my_lo,my_mid,my_hi,my_mos,my_verdict,my_conf,g,pe_star,pb_star,norm,class,cause,note
NATCOPHARM,A,PHARMA,957.5,1868.04841505668,0.972387725748791,BUY,high,884.7,1361.0,1837.4,0.421,ABSTAIN,low,0.1044,20.6,0.5,,Engine-should-have-abstained,engine-rich: exit-multiple/sector-P-E leg inflation (VAL-01 family),independent legs disagree beyond tolerance
GODFRYPHLP,A,CONSUMER,2106.0,4160.516194567794,0.9685432668880027,BUY,high,1805.0,2776.9,3748.8,0.319,BUY-zone,low,0.16,35.2,0.5,,Dir-agree-magnitude-off,engine-rich: thin-margin name on rich sector multiples (VAL-01/AWL-class),Δmos 0.65
AWL,A,CONSUMER,188.65,360.91354278931385,0.9120234307550004,BUY,high,104.8,161.2,217.6,-0.146,REDUCE,low,0.1153,22.8,0.84,,Disagree,engine-rich: thin-margin name on rich sector multiples (VAL-01/AWL-class),
KKCL,A,CONSUMER_DISC,504.7,934.3641383338686,0.8876043198664012,BUY,medium,287.5,442.3,597.2,-0.124,REDUCE,low,0.16,23.2,0.5,,Disagree,engine-rich: exit-multiple/sector-P-E leg inflation (VAL-01 family),
GENUSPOWER,A,MANUFACTURING,314.85,590.2122622908149,0.858350951797276,BUY,medium,143.8,221.2,298.6,-0.298,AVOID,low,0.12,14.9,0.5,,Disagree,engine-rich: exit-multiple/sector-P-E leg inflation (VAL-01 family),
COALINDIA,A,ENERGY,427.6,784.9363356588551,0.8354643649219108,BUY,high,327.7,575.0,822.2,0.345,BUY-zone,low,0.07,13.6,4.54,peak haircut x0.60,Dir-agree-magnitude-off,engine-rich: thin-margin name on rich sector multiples (VAL-01/AWL-class),Δmos 0.49
KPITTECH,A,IT_SERVICES,560.7,980.8888818045492,0.7708772013080868,BUY,high,291.4,448.3,605.1,-0.201,REDUCE,low,0.16,23.4,0.5,,Disagree,engine-rich: exit-multiple/sector-P-E leg inflation (VAL-01 family),
BLS,A,CONSUMER,235.65,413.76146720897964,0.7651939727345547,BUY,high,343.6,528.6,713.6,1.243,ABSTAIN,low,0.16,39.6,0.5,,Engine-should-have-abstained,engine-bearish: compounder growth/CAP caps (VAL-02),independent legs disagree beyond tolerance
SAMHI,A,CONSUMER_DISC,163.29,287.9994964372426,0.7443942849015301,BUY,medium,383.8,590.5,797.1,2.616,ABSTAIN,low,0.16,28.2,0.5,,Engine-should-have-abstained,engine-bearish: compounder growth/CAP caps (VAL-02),independent legs disagree beyond tolerance
CESC,A,UTILITIES,165.03,287.7305021345695,0.7427650038435465,BUY,high,78.5,120.8,163.1,-0.268,AVOID,low,0.1137,13.9,0.5,,Disagree,engine-rich: exit-multiple/sector-P-E leg inflation (VAL-01 family),
INFY,A,IT_SERVICES,1096.95,1801.6829799560028,0.6431217327460126,BUY,high,1417.4,1676.7,1936.0,0.529,BUY-zone,medium,0.0992,20.9,9.0,,Agree,,
WEBELSOLAR,A,MANUFACTURING,100.0,168.83330416239843,0.6188829625313877,BUY,medium,28.4,43.6,58.9,-0.564,ABSTAIN,low,0.12,16.9,0.5,,Engine-should-have-abstained,engine-rich: exit-multiple/sector-P-E leg inflation (VAL-01 family),independent legs disagree beyond tolerance
SONATSOFTW,A,IT_SERVICES,309.0,477.69260861552135,0.5537245360726016,BUY,high,208.7,321.0,433.4,0.039,HOLD,low,0.1346,23.5,0.5,,Adjacent,,Δmos 0.51
CHALET,A,CONSUMER,842.85,1308.4481907540794,0.5161624458332322,BUY,high,121.8,187.4,252.9,-0.778,ABSTAIN,low,0.16,34.3,0.5,,Engine-should-have-abstained,engine-rich: exit-multiple/sector-P-E leg inflation (VAL-01 family),independent legs disagree beyond tolerance
WIPRO,A,IT_SERVICES,174.8,266.8227108827139,0.51603813001542,BUY,high,93.8,110.3,126.9,-0.369,AVOID,high,0.0401,13.8,1.87,,Disagree,engine-rich: exit-multiple/sector-P-E leg inflation (VAL-01 family),
